K,BETA,structures,occ
0.05,0.1,"['7W94', '7W92']","[0.4880610247913603, 0.5119389752086398]"
0.05,0.1,"['7WEV', '7VX1']","[0.5124393614559672, 0.4875606385440329]"
0.05,0.1,"['7WK2', '7WVN']","[0.6109785683562585, 0.3890214316437413]"
0.1,0.1,"['7KDH', '7KDG']","[0.5021075062753552, 0.49789249372464484]"
0.1,0.1,"['7KDI', '7KDJ']","[0.6019846968512101, 0.39801530314878986]"
0.1,0.1,"['7VXI', '7VXE']","[0.5668028246198177, 0.43319717538018243]"
0.1,0.1,"['7W94', '7W92']","[0.4816412050509134, 0.5183587949490864]"
0.1,0.1,"['7WEV', '7VX1']","[0.518967115642728, 0.4810328843572719]"
0.1,0.1,"['7WK2', '7WVN']","[0.6593593155960024, 0.34064068440399775]"
0.5,0.1,"['7KDH', '7KDG']","[0.5032499531127385, 0.4967500468872617]"
0.5,0.1,"['7KDI', '7KDJ']","[0.6568586451240874, 0.3431413548759129]"
0.5,0.1,"['7VXI', '7VXE']","[0.6095881049447531, 0.39041189505524637]"
0.5,0.1,"['7W94', '7W92']","[0.467975178177967, 0.5320248218220327]"
0.5,0.1,"['7WEV', '7VX1']","[0.532691126794038, 0.4673088732059619]"
0.5,0.1,"['7WK2', '7WVN']","[0.7453727833398301, 0.25462721666016946]"
1,0.1,"['7KDH', '7KDG']","[0.5034832820214182, 0.49651671797858177]"
1,0.1,"['7KDI', '7KDJ']","[0.6681694475643558, 0.3318305524356446]"
1,0.1,"['7VXI', '7VXE']","[0.61439927739115, 0.3856007226088504]"
1,0.1,"['7W94', '7W92']","[0.4644713753123504, 0.5355286246876494]"
1,0.1,"['7WEV', '7VX1']","[0.5359418294642652, 0.4640581705357344]"
1,0.1,"['7WK2', '7WVN']","[0.7622556624189111, 0.2377443375810885]"
5,0.1,"['7KDH', '7KDG']","[0.5036899247595552, 0.4963100752404449]"
5,0.1,"['7KDI', '7KDJ']","[0.6784641986964144, 0.321535801303584]"
5,0.1,"['7VXI', '7VXE']","[0.6221322517197664, 0.37786774828023345]"
5,0.1,"['7W94', '7W92']","[0.4612489721778763, 0.538751027822123]"
5,0.1,"['7WEV', '7VX1']","[0.5390464825747041, 0.46095351742529583]"
5,0.1,"['7WK2', '7WVN']","[0.7782225021138014, 0.22177749788619858]"
10,0.1,"['7KDH', '7KDG']","[0.5037219943457116, 0.4962780056542888]"
10,0.1,"['7KDI', '7KDJ']","[0.6798443989347273, 0.32015560106527347]"
10,0.1,"['7VXI', '7VXE']","[0.623170616662932, 0.3768293833370667]"
10,0.1,"['7W94', '7W92']","[0.4608064575289855, 0.5391935424710153]"
10,0.1,"['7WEV', '7VX1']","[0.5394707152100587, 0.4605292847899405]"
